"id_paper","id_volume","volume"
1,"v1",""
4,"v2","TR-0263-08-94-165"
5,"v3","TR-0222-10-92-165"
6,"v4","TR-0174-12-91-165"
7,"v5","TM-0149-06-89-165"
8,"v6","TR-0310-11-95-165"
9,"v7","TR-0146-06-91-165"
10,"v8","TR-0231-08-93-165"
11,"v9","TR-0244-12-93-165"
12,"v10","TR-0169-12-91-165"
13,"v11","TM-0332-11-90-165"
14,"v12","TM-0014-06-88-165"
15,"v13","TR-0236-09-93-165"
16,"v14","UCB/ERL M79/28"
17,"v15","X3H2-90-412"
18,"v16","DBL:KAW-006 X3H2-91-133rev1"
19,"v17","X3H2-90-292"
20,"v18","DBL:ARL-029 X3H2-91-083rev1"
21,"v19","X3H2-92-062"
22,"v20","191"
23,"v21","59"
24,"v22","15"
25,"v23","40"
26,"v24","225"
27,"v25","2"
28,"v26","61"
29,"v27","53"
30,"v28","9"
31,"v29","45"
32,"v30","56"
33,"v31","201"
34,"v32","G320-6590"
35,"v33","111"
36,"v34","60"
37,"v35","228"
38,"v36","188"
39,"v37","87"
40,"v38","177"
41,"v39","3"
42,"v40","154"
43,"v41","150"
44,"v42","165"
45,"v43","163"
46,"v44","34"
47,"v45","68"
48,"v46","166"
49,"v47","5"
50,"v48","126"
51,"v49","208"
52,"v50","89"
53,"v51","212"
54,"v52","37"
55,"v53","237"
56,"v54","180"
57,"v55","8"
58,"v56","220"
59,"v57","4"
60,"v58","26"
61,"v59","38"
62,"v60","157"
63,"v61","231"
64,"v62","146"
65,"v63","199"
66,"v64","241"
67,"v65","8"
68,"v66","151"
69,"v67","27"
70,"v68","132"
71,"v69","190"
72,"v70","114"
73,"v71","144"
74,"v72","83"
75,"v73","121"
76,"v74","29"
77,"v75","130"
78,"v76","210"
79,"v77","19"
80,"v78","135"
81,"v79","11"
82,"v80","RJ2772"
83,"v81","23"
84,"v82","10"
85,"v83","171"
86,"v84","162"
87,"v85","91"
88,"v86","7"
89,"v87","205"
90,"v88","13"
91,"v89","106"
92,"v90","134"
93,"v91","96"
94,"v92","192"
95,"v93","107"
96,"v94","112"
97,"v95","167"
98,"v96","50"
99,"v97","232"
100,"v98","182"
101,"v99","189"
102,"v100","169"
103,"v101","156"
104,"v102","223"
105,"v103","RJ1200"
106,"v104","221"
107,"v105","138"
108,"v106","217"
109,"v107","200"
110,"v108","178"
111,"v109","195"
112,"v110","84"
113,"v111","170"
114,"v112","35"
115,"v113","5"
116,"v114","202"
117,"v115","224"
118,"v116","93"
119,"v117","3"
120,"v118","124"
121,"v119","43"
122,"v120","234"
123,"v121","115"
124,"v122","102"
125,"v123","198"
126,"v124","RJ2144"
127,"v125","194"
128,"v126","108"
129,"v127","6"
130,"v128","99"
131,"v129","153"
132,"v130","72"
133,"v131","70"
134,"v132","30"
135,"v133","80"
136,"v134","92"
137,"v135","110"
138,"v136","RJ2736"
139,"v137","213"
140,"v138","46"
141,"v139","11"
142,"v140","233"
143,"v141","184"
144,"v142","1"
145,"v143","6"
146,"v144","214"
147,"v145","158"
148,"v146","215"
149,"v147","140"
150,"v148","88"
151,"v149","41"
152,"v150","14"
153,"v151","168"
154,"v152","119"
155,"v153","193"
156,"v154","RJ2555"
157,"v155","90"
158,"v156","117"
159,"v157","222"
160,"v158","211"
161,"v159","85"
162,"v160","20"
163,"v161","73"
164,"v162","113"
165,"v163","152"
166,"v164","179"
167,"v165","71"
168,"v166","187"
169,"v167","74"
170,"v168","103"
171,"v169","2"
172,"v170","1"
173,"v171","42"
174,"v172","39"
175,"v173","227"
176,"v174","129"
177,"v175","33"
178,"v176","175"
179,"v177","58"
180,"v178","98"
181,"v179","183"
182,"v180","104"
183,"v181","122"
184,"v182","86"
185,"v183","G320-2096"
186,"v184","81"
187,"v185","164"
188,"v186","139"
189,"v187","67"
190,"v188","109"
191,"v189","181"
192,"v190","25"
193,"v191","GH24-5013"
194,"v192","235"
195,"v193","17"
196,"v194","145"
197,"v195","57"
198,"v196","51"
199,"v197","123"
200,"v198","125"
201,"v199","218"
202,"v200","95"
203,"v201","219"
204,"v202","176"
205,"v203","97"
206,"v204","69"
207,"v205","44"
208,"v206","209"
209,"v207","172"
210,"v208","137"
211,"v209","12"
212,"v210","149"
213,"v211","141"
214,"v212","196"
215,"v213","206"
216,"v214","9"
217,"v215","136"
218,"v216","148"
219,"v217","36"
220,"v218","226"
221,"v219","131"
222,"v220","47"
223,"v221","174"
224,"v222","128"
225,"v223","127"
226,"v224","230"
227,"v225","204"
228,"v226","147"
229,"v227","173"
230,"v228","105"
231,"v229","161"
232,"v230","185"
233,"v231","118"
234,"v232","RJ1579"
235,"v233","186"
236,"v234","94"
237,"v235","GH24-5012"
238,"v236","133"
239,"v237","24"
240,"v238","18"
241,"v239","RJ2274"
242,"v240","143"
243,"v241","28"
244,"v242","82"
245,"v243","229"
246,"v244","66"
247,"v245","31"
248,"v246","22"
249,"v247","203"
250,"v248","12"
251,"v249","32"
252,"v250","14"
253,"v251","10"
254,"v66","151"
255,"v253","RJ1318"
256,"v254","RJ2598"
257,"v255","207"
258,"v256","98-14"
259,"v257","99-26"
260,"v258","96-16"
261,"v259","01-21"
262,"v260","98-06"
263,"v261","96-32"
264,"v262","94-10"
265,"v263","00-01"
266,"v264","97-24"
267,"v265","97-09"
268,"v266","99-12"
269,"v267","92-26"
270,"v268","98-07"
271,"v269","96-22"
272,"v270","02-21"
273,"v271","98-12"
274,"v272","92-17"
275,"v273","94-05"
276,"v274","00-05"
277,"v275","96-17"
278,"v276","03-01"
279,"v277","96-26"
280,"v278","96-37"
281,"v279","96-29"
282,"v280","96-33"
283,"v281","97-06"
284,"v282","93-01"
285,"v283","93-21"
286,"v284","01-06"
287,"v285","97-08"
288,"v286","92-24"
289,"v287","96-31"
290,"v288","94-11"
291,"v289","98-29"
292,"v290","96-38"
293,"v291","97-23"
294,"v292","03-03"
295,"v293","99-11"
296,"v294","94-14"
297,"v295","98-21"
298,"v296","97-04"
299,"v297","96-12"
300,"v298","92-27"
301,"v299","95-06"
302,"v300","93-11"
303,"v301","02-19"
304,"v302","96-15"
305,"v303","04-01"
306,"v304","96-41"
307,"v305","06-01"
308,"v306","96-03"
309,"v307","96-35"
310,"v308","92-20"
311,"v309","99-13"
312,"v310","97-05"
313,"v311","94-09"
314,"v312","02-20"
315,"v313","02-23"
316,"v314","99-27"
317,"v315","98-05"
318,"v316","95-04"
319,"v317","98-23"
320,"v318","01-03"
321,"v319","93-14"
322,"v320","97-27"
323,"v321","01-13"
324,"v322","96-24"
325,"v323","93-18"
326,"v324","96-01"
327,"v325","99-06"
328,"v326","93-16"
329,"v327","01-09"
330,"v328","98-10"
331,"v329","98-16"
332,"v330","03-04"
333,"v331","95-14"
334,"v332","95-18"
335,"v333","94-03"
336,"v334","97-13"
337,"v335","95-20"
338,"v336","96-19"
339,"v337","99-02"
340,"v338","95-13"
341,"v339","00-07"
342,"v340","96-30"
343,"v341","92-06"
344,"v342","01-12"
345,"v343","01-20"
346,"v344","97-03"
347,"v345","01-19"
348,"v346","98-27"
349,"v347","93-23"
350,"v348","98-19"
351,"v349","98-24"
352,"v350","96-39"
353,"v351","96-42"
354,"v352","96-34"
355,"v353","97-01"
356,"v354","98-32"
357,"v355","99-20"
358,"v356","02-07"
359,"v357","92-16"
360,"v358","92-22"
361,"v359","96-04"
362,"v360","02-05"
363,"v361","96-46"
364,"v362","93-10"
365,"v363","95-24"
366,"v364","97-20"
367,"v365","92-14"
368,"v366","04-05"
369,"v367","98-08"
370,"v368","99-05"
371,"v369","98-09"
372,"v370","97-21"
373,"v371","02-15"
374,"v372","92-09"
375,"v373","97-22"
376,"v374","97-17"
377,"v375","00-02"
378,"v376","92-04"
379,"v377","94-16"
380,"v378","02-13"
381,"v379","99-09"
382,"v380","99-07"
383,"v381","93-05"
384,"v382","95-15"
385,"v383","95-05"
386,"v384","99-19"
387,"v385","97-18"
388,"v386","99-14"
389,"v387","94-01"
390,"v388","92-25"
391,"v389","98-31"
392,"v390","02-22"
393,"v391","01-16"
394,"v392","93-03"
395,"v393","95-19"
396,"v394","94-18"
397,"v395","92-08"
398,"v396","01-08"
399,"v397","96-27"
400,"v398","02-12"
401,"v399","97-10"
402,"v400","96-07"
403,"v401","94-17"
404,"v402","01-01"
405,"v403","95-11"
406,"v404","04-04"
407,"v405","95-12"
408,"v406","99-16"
409,"v407","92-10"
410,"v408","92-21"
411,"v409","00-08"
412,"v410","95-22"
413,"v411","95-03"
414,"v412","92-18"
415,"v413","96-21"
416,"v414","92-13"
417,"v415","98-26"
418,"v416","00-03"
419,"v417","99-10"
420,"v418","02-16"
421,"v419","96-36"
422,"v420","98-30"
423,"v421","01-15"
424,"v422","00-06"
425,"v423","97-14"
426,"v424","99-03"
427,"v425","95-23"
428,"v426","92-19"
429,"v427","99-22"
430,"v428","92-01"
431,"v429","97-28"
432,"v430","96-28"
433,"v431","94-07"
434,"v432","96-10"
435,"v433","00-09"
436,"v434","96-40"
437,"v435","95-08"
438,"v436","96-43"
439,"v437","99-30"
440,"v438","93-09"
441,"v439","06-04"
442,"v440","96-18"
443,"v441","98-02"
444,"v442","00-10"
445,"v443","95-16"
446,"v444","01-02"
447,"v445","93-06"
448,"v446","96-45"
449,"v447","92-11"
450,"v448","95-17"
451,"v449","04-07"
452,"v450","98-03"
453,"v451","93-04"
454,"v452","93-15"
455,"v453","93-07"
456,"v454","01-11"
457,"v455","00-04"
458,"v456","02-02"
459,"v457","97-11"
460,"v458","99-15"
461,"v459","97-16"
463,"v460","96-11"
464,"v461","94-12"
465,"v462","02-04"
466,"v463","92-07"
467,"v464","99-18"
468,"v465","01-14"
469,"v466","97-07"
470,"v467","95-02"
471,"v468","95-09"
472,"v469","02-10"
473,"v470","94-04"
474,"v471","92-12"
475,"v472","92-05"
476,"v473","03-05"
477,"v474","94-15"
478,"v475","93-12"
479,"v476","97-15"
480,"v477","93-02"
481,"v478","00-11"
482,"v479","94-08"
483,"v480","99-25"
484,"v481","95-10"
485,"v482","01-18"
486,"v483","96-14"
487,"v484","96-02"
488,"v485","94-02"
489,"v486","98-25"
490,"v487","06-02"
491,"v488","02-17"
492,"v489","93-19"
493,"v490","98-01"
494,"v491","02-09"
495,"v492","98-11"
496,"v493","96-06"
497,"v494","94-13"
498,"v495","97-12"
499,"v496","93-24"
500,"v497","96-25"
501,"v498","99-08"
502,"v499","96-13"
503,"v500","97-25"
504,"v501","00-13"
505,"v502","96-09"
506,"v503","99-29"
507,"v504","01-17"
508,"v505","94-06"
509,"v506","98-20"
510,"v507","02-03"
511,"v508","96-05"
512,"v509","98-28"
513,"v510","96-08"
514,"v511","04-03"
515,"v512","95-07"
516,"v513","95-01"
517,"v514","99-01"
518,"v515","02-06"
519,"v516","03-06"
520,"v517","01-10"
521,"v518","98-15"
522,"v519","98-22"
523,"v520","03-02"
524,"v521","97-26"
525,"v522","93-13"
526,"v523","02-11"
527,"v524","99-21"
528,"v525","00-12"
529,"v526","99-04"
530,"v527","02-14"
531,"v528","96-23"
532,"v529","93-22"
533,"v530","99-24"
534,"v531","95-21"
535,"v532","04-06"
536,"v533","93-08"
537,"v534","99-28"
538,"v535","99-23"
539,"v536","02-01"
540,"v537","92-02"
541,"v538","96-20"
542,"v539","98-13"
543,"v540","01-07"
544,"v541","93-20"
545,"v542","97-02"
546,"v543","92-03"
547,"v544","92-28"
548,"v545","93-17"
549,"v546","02-18"
550,"v547","02-08"
551,"v548","92-23"
552,"v549","98-18"
553,"v550","92-15"
554,"v551","IC-12-08"
555,"v552","TUM I 9132"
556,"v553","TUM M 9006"
557,"v554","TUM I 9332"
558,"v555","TUM I 9304"
559,"v556","TUM I 9125"
560,"v557","TUM I 9229"
561,"v558","TUM I 9317"
562,"v559","TUM I 9051"
563,"v560","TUM I 9044"
564,"v561","FKI 91 88"
565,"v562","TUM I 9014"
566,"v563","TUM I 9318"
567,"v564","TUM I 9314"
568,"v565","TUM I 9043"
569,"v566","TUM M 9005"
570,"v567","TUM I 9024"
571,"v568","TUM I 8909"
572,"v569","TUM I 9307"
573,"v570","FKI 137 90"
574,"v571","TUM I 9102"
575,"v572","TUM A 9016"
576,"v573","FKI 151 91"
577,"v574","TUM I 9129"
578,"v575","FKI 99 89"
579,"v576","FKI 88 88"
580,"v577","FKI 135 90"
581,"v578","TUM I 9218"
582,"v579","TUM I 9208"
583,"v580","TUM I 9116"
584,"v581","TUM I 9137"
585,"v582","TUM I 9225"
586,"v583","FKI 101 89"
587,"v584","TUM I 9233"
588,"v585","FKI 90 88"
589,"v586","FKI 148 91"
590,"v587","TUM I 9038"
591,"v588","FKI 93 88"
592,"v589","TUM I 9120"
593,"v590","TUM I 9004"
594,"v591","TUM I 9237"
595,"v592","TUM I 9118"
596,"v593","TUM I 9234"
597,"v594","TUM M 9009"
598,"v595","TUM I 9328"
599,"v596","TUM I 9133"
600,"v597","TUM I 9303"
601,"v598","FKI 162 91"
602,"v599","TUM M 9201"
603,"v600","TUM M 8501"
604,"v601","TUM I 9205"
605,"v602","TUM I 9040"
606,"v603","FKI 139 90"
607,"v604","TUM I 9238"
608,"v605","FKI 159 91"
609,"v606","TUM I 9018"
610,"v607","FKI 132 90"
611,"v608","FKI 146 91"
612,"v609","TUM M 9206"
613,"v610","TUM I 9052"
614,"v611","TUM I 9122"
615,"v612","TUM M 9205"
616,"v613","FKI 140 90"
617,"v614","TUM I 9222"
618,"v615","FKI 127 90"
619,"v616","FKI 176 93"
620,"v617","FKI 164 92"
621,"v618","FKI 96 88"
622,"v619","FKI 154 91"
623,"v620","FKI 158 91"
624,"v621","TUM I 9323"
625,"v622","FKI 150 91"
626,"v623","FKI 160 91"
627,"v624","TUM I 9319"
628,"v625","TUM I 8910"
629,"v626","FKI 131 90"
630,"v627","SFB 342"
631,"v628","FKI 145 90"
632,"v629","TUM I 9017"
633,"v630","TUM I 9041"
634,"v631","FKI 128 90"
635,"v632","FKI 177 93"
636,"v633","TUM I 9329"
637,"v634","TUM I 9049"
638,"v635","FKI 115 89"
639,"v636","TUM I 9212"
640,"v637","TUM M 9011"
641,"v638","FKI 124 90"
642,"v639","FKI 155 91"
643,"v640","TUM I 9114"
644,"v641","TUM I 9142"
645,"v642","TUM I 9117"
646,"v643","TUM I 8807"
648,"v644","TUM I 9333"
649,"v645","FKI 179 93"
650,"v646","FKI 96 89"
651,"v647","FKI 126 90"
652,"v648","FKI 174 93"
653,"v649","FKI 184 93"
654,"v650","TUM I 9236"
655,"v651","TUM I 9055"
656,"v652","TUM I 9011"
657,"v653","FKI 183 93"
658,"v654","TUM I 9101"
659,"v655","TUM I 9231"
660,"v656","TUM I 9135"
661,"v657","TUM I 9211"
662,"v658","TUM I 9232"
663,"v659","FKI 157 91"
664,"v660","TUM I 9053"
665,"v661","TUM I 9127"
666,"v662","TUM I 9226"
667,"v663","FKI 141 90"
668,"v664","FKI 94 88"
669,"v665","FKI 163 91"
670,"v666","TUM I 9321"
671,"v667","FKI 84 88"
672,"v668","TUM I 9216"
673,"v669","FKI 125 90"
674,"v670","TUM I 9305"
675,"v671","FKI 149 91"
676,"v672","SFB 917"
677,"v673","FKI 100 89"
678,"v674","TUM I 9217"
679,"v675","https://d-nb.info/930155920"
680,"v676","FKI 175 93"
681,"v677","TUM I 9128"
682,"v678","FKI 85 88"
683,"v679","FKI 165 92"
684,"v680","TUM I 9334"
685,"v681","FKI 166 92"
686,"v682","TUM I 9037"
687,"v683","FKI 171 92"
688,"v684","FKI 136 90"
689,"v685","TUM I 9316"
690,"v686","TUM I 9143"
691,"v687","FKI 111 89"
692,"v688","FKI 105 89"
693,"v689","TUM I 9136"
694,"v690","TUM I 9341"
695,"v691","FKI 156 91"
696,"v692","TUM I 9006"
697,"v693","TUM I 9134"
698,"v694","TUM I 9230"
699,"v695","TUM I 9338"
700,"v696","TUM I 9005"
701,"v697","TUM I 9023"
702,"v698","FKI 153 91"
703,"v699","FKI 87 88"
704,"v700","TUM I 9026"
705,"v701","FKI 167 92"
706,"v702","TUM I 9007"
707,"v703","TUM I 9320"
708,"v704","FKI 112 89"
709,"v705","FKI 168 92"
710,"v706","TUM I 9207"
711,"v707","TUM M 9202"
712,"v708","TUM I 9139"
713,"v709","TUM M 9007"
714,"v710","TUM I 9003"
715,"v711","FKI 161 91"
716,"v712","TUM I 9325"
717,"v713","FKI 144 90"
718,"v714","TUM I 9032"
719,"v715","TUM I 9121"
720,"v716","FKI 130 90"
721,"v717","TUM-I-9215"
722,"v718","FKI 152 91"
723,"v719","FKI 182 93"
724,"v720","TUM I 9105"
725,"v721","TUM I 9035"
726,"v722","TUM I 9113"
727,"v723","FKI 123 89"
728,"v724","TUM I 9126"
729,"v725","FKI 102 89"
730,"v726","FKI 89 88"
731,"v727","FKI 169 92"
732,"v728","FKI 178 93"
733,"v729","TUM I 9220"
734,"v730","TUM I 9223"
735,"v731","FKI 109 89"
736,"v732","TUM M 9008"
737,"v733","TUM I 9130"
738,"v734","TUM I 8516"
739,"v735","TUM I 9029"
740,"v736","TUM I 9028"
741,"v737","TUM I 9330"
742,"v738","TUM I 9209"
743,"v739","TUM I 7815"
744,"v740","TUM I 9115"
745,"v741","TUM I 9016"
746,"v742","TUM I 9313"
747,"v743","TUM I 9050"
748,"v744","FKI 170 92"
749,"v745","FKI 114 89"
750,"v746","TUM I 9213"
751,"v747","TUM I 9340"
752,"v748","TUM I 9109"
753,"v749","FKI 129 90"
754,"v750","TUM I 9108"
755,"v751","TUM I 9138"
756,"v752","TUM I 9331"
757,"v753","TUM I 8409"
758,"v754","TUM I 9224"
759,"v755","FKI 173 92"
760,"v756","TUM I 9322"
761,"v757","TUM I 9056"
762,"v758","TUM I 9301"
763,"v759","TUM I 9146"
764,"v760","TUM M 9107"
765,"v761","TUM I 9034"
766,"v762","TUM I 9009"
767,"v763","TUM I 9046"
768,"v764","FKI 92 88"
769,"v765","TUM I 9039"
770,"v766","TUM I 9020"
771,"v767","FKI 110 89"
772,"v768","TUM I 9327"
773,"v769","TUM I 9001"
774,"v770","TUM I 9042"
775,"v771","TUM I 9324"
776,"v772","TUM I 9308"
777,"v773","FKI 86 88"
778,"v774","TUM I 9036"
779,"v775","FKI 134 90"
780,"v776","FKI 133 90"
781,"v777","TUM M 9105"
782,"v778","FKI 147 91"
783,"v779","TUM I 9107"
784,"v780","FKI 108 89"
785,"v781","TUM I 9054"
786,"v782","TUM I 9123"
787,"v783","FKI 172 92"
799,"v784","SRC1997-018"
816,"v785","RJ935"
819,"v786","RJ987"
820,"v787",""
821,"v788","RJ1400"
822,"v789","RJ893"
823,"v790","15"
825,"v791",""
826,"v792","RJ909"
827,"v793","RJ599"
829,"v794","248"
830,"v795","RJ3132"
831,"v796","16"
28916,"v797","25"
28917,"v798","14"
28918,"v799","26"
28919,"v800","18"
28920,"v801","27"
28921,"v799","26"
28922,"v802","24"
28923,"v802","24"
28924,"v803","16"
28925,"v803","16"
28926,"v802","24"
28927,"v803","16"
28928,"v804","13"
28929,"v801","27"
28930,"v799","26"
28931,"v805","28"
28932,"v806","21"
28933,"v807","19"
28934,"v799","26"
28935,"v805","28"
28936,"v808","17"
28937,"v801","27"
28938,"v799","26"
28939,"v809","20"
28940,"v797","25"
28941,"v803","16"
28942,"v800","18"
28943,"v806","21"
28944,"v810","22"
28945,"v802","24"
28946,"v797","25"
28947,"v797","25"
28948,"v798","14"
28949,"v802","24"
28950,"v810","22"
28951,"v807","19"
28952,"v797","25"
28953,"v811","15"
28954,"v810","22"
28955,"v807","19"
28956,"v806","21"
28957,"v812","29"
28958,"v808","17"
28959,"v810","22"
28960,"v798","14"
28961,"v805","28"
28962,"v805","28"
28963,"v809","20"
28964,"v810","22"
28965,"v810","22"
28966,"v806","21"
28967,"v810","22"
28968,"v806","21"
28969,"v799","26"
28970,"v797","25"
28971,"v806","21"
28972,"v799","26"
28973,"v805","28"
28974,"v806","21"
28975,"v808","17"
28976,"v801","27"
28977,"v810","22"
28978,"v813","23"
28979,"v813","23"
28980,"v797","25"
28981,"v807","19"
28982,"v812","29"
28983,"v799","26"
28984,"v808","17"
28985,"v799","26"
28986,"v800","18"
28987,"v800","18"
28988,"v800","18"
28989,"v802","24"
28990,"v797","25"
28991,"v802","24"
28992,"v806","21"
28993,"v802","24"
28994,"v813","23"
28995,"v813","23"
28996,"v810","22"
28997,"v802","24"
28998,"v799","26"
28999,"v802","24"
29000,"v797","25"
29001,"v812","29"
29002,"v806","21"
29003,"v799","26"
29004,"v806","21"
29005,"v803","16"
29006,"v808","17"
29007,"v797","25"
29008,"v804","13"
29009,"v806","21"
29010,"v798","14"
29011,"v810","22"
29012,"v806","21"
29013,"v802","24"
29014,"v810","22"
29015,"v797","25"
29016,"v802","24"
29017,"v803","16"
29018,"v799","26"
29019,"v799","26"
29020,"v813","23"
29021,"v797","25"
29022,"v799","26"
29023,"v810","22"
29024,"v810","22"
29025,"v801","27"
29026,"v809","20"
29027,"v802","24"
29028,"v802","24"
29029,"v802","24"
29030,"v813","23"
29031,"v807","19"
29032,"v812","29"
29033,"v805","28"
29034,"v807","19"
29035,"v813","23"
29036,"v804","13"
29037,"v807","19"
29038,"v806","21"
29039,"v801","27"
29040,"v799","26"
29041,"v810","22"
29042,"v797","25"
29043,"v806","21"
29044,"v813","23"
29045,"v806","21"
29046,"v810","22"
29047,"v805","28"
29048,"v814","30"
29049,"v797","25"
29050,"v800","18"
29051,"v813","23"
29052,"v798","14"
29053,"v802","24"
29054,"v799","26"
29055,"v797","25"
29056,"v802","24"
29057,"v797","25"
29058,"v799","26"
29059,"v809","20"
29060,"v802","24"
29061,"v805","28"
29062,"v797","25"
29063,"v808","17"
29064,"v806","21"
29065,"v806","21"
29066,"v806","21"
29067,"v813","23"
29068,"v812","29"
29069,"v813","23"
29070,"v810","22"
29071,"v809","20"
29072,"v812","29"
29073,"v808","17"
29074,"v804","13"
29075,"v800","18"
29076,"v807","19"
29077,"v803","16"
29078,"v797","25"
29079,"v799","26"
29080,"v797","25"
29081,"v810","22"
29082,"v807","19"
29083,"v813","23"
29084,"v803","16"
29085,"v800","18"
29086,"v802","24"
29087,"v797","25"
29088,"v806","21"
29089,"v805","28"
29090,"v807","19"
29091,"v812","29"
29092,"v813","23"
29093,"v806","21"
29094,"v808","17"
29095,"v798","14"
29096,"v807","19"
29097,"v806","21"
29098,"v799","26"
29099,"v807","19"
29100,"v812","29"
29101,"v799","26"
29102,"v812","29"
29103,"v806","21"
29104,"v802","24"
29105,"v806","21"
29106,"v798","14"
29107,"v801","27"
29108,"v802","24"
29109,"v797","25"
29110,"v799","26"
29111,"v799","26"
29112,"v797","25"
29113,"v807","19"
29114,"v805","28"
29115,"v797","25"
29116,"v804","13"
29117,"v804","13"
29118,"v810","22"
29119,"v810","22"
